IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,JPN,JPT
CPD-0001-6052,TLC-FSMD050,TLC Electronic,Fuse Resettable 6V 500mA 0603,Device:Fuse,Fuse:Fuse_0603_1608Metric,https://www.lcsc.com/datasheet/lcsc_datasheet_1811032119_TLC-Electronic-TLC-FSMD050_C261937.pdf,C261937,Extended
CPD-0002-7062,PSM712-LF-T7,ProTek Devices,ESD Breakdown:[7.5|13.3]V Clamp:[11|19]V 600W SOT-23,g-cpd:PSM712-LF-T7,Package_TO_SOT_SMD:SOT-23,https://www.lcsc.com/datasheet/lcsc_datasheet_1811061632_ProTek-Devices-PSM712-LF-T7_C32677.pdf,C32677,Basic
CPD-0003-6062,P6SMB6.8CA,Brightking,ESD Bidirectional Breakdown:6.45V Clamp:10V 600W SMB,g-cpd:ESD_DIODE_BIDIRECTIONAL,Diode_SMD:D_SMB,https://www.lcsc.com/datasheet/lcsc_datasheet_1810181007_Brightking-P6SMB6-8CA-TR13_C78395.pdf,C78395,Basic
CPD-0004-6051,H5VL10B,hongjiacheng,ESD Bidirectional Breakdown:6.45V Clamp:10V 50W SMB,g-cpd:ESD_DIODE_BIDIRECTIONAL,Diode_SMD:D_SOD-882,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2306301553_hongjiacheng-H5VL10B_C7420372.pdf,C7420372,Preferred
CPD-0005-3636,SMF05CT1G,onsemi ,ESD x 5 Bidirectional Breakdown:6.2V Clamp:12.5V 100W SMB,g-cpd:SMF05C,Package_TO_SOT_SMD:SOT-363_SC-70-6,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579709093222932480,C15879,Preferred
CPD-0006-0236,USBLC6-2SC6,STMicroelectronics ,ESD USB 2.0 Dataline and Vbus Breakdown:6V Clamp:17.5V 30W SMB,Power_Protection:USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,C7519,Extended
