IPN          , MPN    , Manufacturer                                    , Description                                                        , Symbol                , Footprint                         , Datasheet                                                                                                                   , JPN      , JPT
XTR-0001-4510, BC847B , hongjiacheng                                    , 45V 200mW 200@2.0mA 5.0V 100mA NPN SOT-23 Bipolar (BJT) ROHS       , Transistor_BJT:BC847  , Package_TO_SOT_SMD:SOT-23         , N/A                                                                                                                         , C20069135, Preferred
XTR-0002-4510, BC847C , hongjiacheng                                    , 45V 200mW 420@2mA 5.0V 100mA NPN SOT-23 Bipolar (BJT) ROHS         , Transistor_BJT:BC847  , Package_TO_SOT_SMD:SOT-23         , https://www.lcsc.com/datasheet/lcsc_datasheet_2501071555_hongjiacheng-BC847C_C7420337.pdf                                   , C7420337 , Preferred
XTR-0003-4510, BC847BS, hongjiacheng                                    , 45V 0.2W 800@2mA 5V 100mA NPN SOT-363 Bipolar (BJT) ROHS           , Transistor_BJT:BC847BS, Package_TO_SOT_SMD:SOT-363_SC-70-6, https://www.lcsc.com/datasheet/lcsc_datasheet_2501071555_hongjiacheng-BC847BS_C41375126.pdf                                 , C41375126, Preferred
XTR-0004-6010, 2N7002 , Jiangsu Changjing Electronics Technology Co.Ltd., 60V 115mA 225mW 5Ω@10V 2.5V 1 N-channel SOT-23 MOSFETs ROHS        , Transistor_FET:2N7002 , Package_TO_SOT_SMD:SOT-23         , https://www.lcsc.com/datasheet/lcsc_datasheet_2409272231_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--2N7002_C8545.pdf, C8545    , Basic
XTR-0005-5034, BSS138 , hongjiacheng                                    , 50V 340mA 2.5Ω@10V 340mA 350mW 1.6V 1 N-channel SOT-23 MOSFETs ROHS, Transistor_FET:BSS138 , Package_TO_SOT_SMD:SOT-23         , https://www.lcsc.com/datasheet/lcsc_datasheet_2501071555_hongjiacheng-BSS138_C7420339.pdf                                   , C7420339 , Preferred
XTR-0006-2040, MDD2302, MDD(Microdiode Semiconductor)                   , 20V 4A 28mΩ@2.5V 4A 1.25W 500mV 1 N-channel SOT-23 MOSFETs ROHS    , Transistor_FET:2N7002 , Package_TO_SOT_SMD:SOT-23         , https://www.lcsc.com/datasheet/lcsc_datasheet_2411211951_MDD-Microdiode-Semiconductor-MDD2302_C427390.pdf                   , C427390  , Preferred
XTR-0007-6010, 2N7002W, hongjiacheng                                    , 60V 115mA 7Ω@5V 50mA 200mW 2.5V 1 N-channel SOT-323 MOSFETs ROHS   , Transistor_FET:2N7002 , Package_TO_SOT_SMD:SOT-323                           , https://www.lcsc.com/datasheet/lcsc_datasheet_2501071555_hongjiacheng-2N7002W_C7420322.pdf                                  , C7420322 , Preferred
